pos_id;track_id;pair_id;bird_num;path;bird_id;x;y;t;dp_10m
270;1;1;1;A;1;612569.69295;5729471.71973;40361.8;f
271;1;1;1;A;1;612571.35128;5729474.85101;40362;f
272;1;1;1;A;1;612573.01146;5729477.90282;40362.2;f
273;1;1;1;A;1;612574.67173;5729480.94384;40362.4;f
274;1;1;1;A;1;612576.26725;5729484.08425;40362.6;f
275;1;1;1;A;1;612577.85601;5729487.23506;40362.8;f
276;1;1;1;A;1;612579.38221;5729490.38447;40363;f
277;1;1;1;A;1;612580.83931;5729493.53235;40363.2;f
278;1;1;1;A;1;612582.29212;5729496.57939;40363.4;f
279;1;1;1;A;1;612583.86803;5729499.71938;40363.6;f
280;1;1;1;A;1;612585.51925;5729502.87145;40363.8;f
281;1;1;1;A;1;612587.30443;5729505.9259;40364;f
282;1;1;1;A;1;612589.16558;5729508.97167;40364.2;f
283;1;1;1;A;1;612591.223;5729511.92084;40364.4;f
284;1;1;1;A;1;612593.30035;5729514.86002;40364.6;f
285;1;1;1;A;1;612595.44251;5729517.69994;40364.8;f
286;1;1;1;A;1;612597.71655;5729520.53227;40365;f
287;1;1;1;A;1;612600.06847;5729523.26562;40365.2;f
288;1;1;1;A;1;612602.4248;5729526.08912;40365.4;f
289;1;1;1;A;1;612604.84591;5729528.82413;40365.6;f
290;1;1;1;A;1;612607.27359;5729531.54852;40365.8;f
291;1;1;1;A;1;612609.70136;5729534.27302;40366;f
292;1;1;1;A;1;612612.12913;5729536.99752;40366.2;f
293;1;1;1;A;1;612614.49211;5729539.8213;40366.4;f
294;1;1;1;A;1;612616.66066;5729542.65129;40366.6;f
295;1;1;1;A;1;612618.80733;5729545.5815;40366.8;f
296;1;1;1;A;1;612620.76386;5729548.61874;40367;f
297;1;1;1;A;1;612622.64022;5729551.564;40367.2;f
298;1;1;1;A;1;612624.44539;5729554.59772;40367.4;f
299;1;1;1;A;1;612626.11884;5729557.6393;40367.6;f
300;1;1;1;A;1;612627.71201;5729560.88027;40367.8;f
301;1;1;1;A;1;612629.36301;5729564.04302;40368;f
302;1;1;1;A;1;612630.956;5729567.29466;40368.2;f
303;1;1;1;A;1;612632.54446;5729570.45603;40368.4;f
304;1;1;1;A;1;612634.13316;5729573.60685;40368.6;f
305;1;1;1;A;1;612635.65923;5729576.75614;40368.8;f
306;1;1;1;A;1;612637.30398;5729579.90835;40369;f
307;1;1;1;A;1;612638.95951;5729583.1614;40369.2;f
308;1;1;1;A;1;612640.74206;5729586.32697;40369.4;f
309;1;1;1;A;1;612642.6028;5729589.38315;40369.6;f
310;1;1;1;A;1;612644.6602;5729592.33248;40369.8;f
311;1;1;1;A;1;612646.80229;5729595.17244;40370;f
312;1;1;1;A;1;612649.14102;5729597.90553;40370.2;f
